"persona"	"nome"	"cognome"	"dataNascita"	"dataMorte"	"valoreConsulta"
"http://dati.camera.it/ocd/persona.rdf/pr12054"	"PIERO"	"DEL MONTE"	"19021013"		"true"
"http://dati.camera.it/ocd/persona.rdf/pr12051"	"PIERO"	"DELLA GIUSTA"	"19000926"		"true"
"http://dati.camera.it/ocd/persona.rdf/pr12052"	"GISELLA"	"DELLA PORTA"	"19060403"		"true"
"http://dati.camera.it/ocd/persona.rdf/pr12053"	"GIOVANNI"	"DELLA TORRE"	"19030723"		"true"
"http://dati.camera.it/ocd/persona.rdf/pr12059"	"EZIO"	"DI CLEMENTE"	"18951126"		"true"
"http://dati.camera.it/ocd/persona.rdf/p25750"	"GIUSEPPE"	"DI VITTORIO"	"18920811"	"19571103"	"true"
"http://dati.camera.it/ocd/persona.rdf/p7990"	"ANTIGONO"	"DONATI"	"19100120"	"20020106"	"true"
"http://dati.camera.it/ocd/persona.rdf/p25780"	"GIUSEPPE"	"DOSSETTI"	"19130213"	"19961215"	"true"
"http://dati.camera.it/ocd/persona.rdf/p27790"	"LUIGI"	"EINAUDI"	"18740324"	"19611030"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr12063"	"PIO"	"EROLI"	"19030126"	"19801213"	"true"
"http://dati.camera.it/ocd/persona.rdf/p27800"	"GUSTAVO"	"FABBRI"	"18820110"	"19620108"	"true"
"http://dati.camera.it/ocd/persona.rdf/p303741"	"LUIGI"	"FABBRI"		"19661107"	"true"
"http://dati.camera.it/ocd/persona.rdf/p27810"	"CIPRIANO"	"FACCHINETTI"	"18890113"	"19520217"	"true"
"http://dati.camera.it/ocd/persona.rdf/p12250"	"GIOVAMBATTISTA"	"FANALES"	"19000221"	"19700413"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr12066"	"FRANCESCO"	"FANCELLO"	"18840319"		"true"
"http://dati.camera.it/ocd/persona.rdf/p27820"	"LUCIANO"	"FANTONI"	"18811223"	"19670619"	"true"
"http://dati.camera.it/ocd/persona.rdf/p300797"	"EGIDIO"	"FAZIO"		"19570719"	"true"
"http://dati.camera.it/ocd/persona.rdf/p27850"	"ARMANDO"	"FEDELI"	"18980128"	"19651010"	"true"
"http://dati.camera.it/ocd/persona.rdf/p304187"	"SERGIO"	"FENOALTEA"			"true"
