"persona"	"nome"	"cognome"	"dataNascita"	"dataMorte"	"riferimento"	"legislatura"
"http://dati.camera.it/ocd/persona.rdf/p200888"	"MARIA GRAZIA"	"SILIQUINI"	"19480415"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_13"
"http://dati.camera.it/ocd/persona.rdf/p200888"	"MARIA GRAZIA"	"SILIQUINI"	"19480415"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/persona.rdf/p200901"	"UGO"	"SPOSETTI"	"19470121"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_10"
"http://dati.camera.it/ocd/persona.rdf/p200901"	"UGO"	"SPOSETTI"	"19470121"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_11"
"http://dati.camera.it/ocd/persona.rdf/p200901"	"UGO"	"SPOSETTI"	"19470121"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_17"
"http://dati.camera.it/ocd/persona.rdf/p200951"	"GIUSEPPE"	"VALENTINO"	"19451219"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_13"
"http://dati.camera.it/ocd/persona.rdf/p200951"	"GIUSEPPE"	"VALENTINO"	"19451219"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_15"
"http://dati.camera.it/ocd/persona.rdf/p200951"	"GIUSEPPE"	"VALENTINO"	"19451219"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_16"
"http://dati.camera.it/ocd/persona.rdf/p200958"	"GIUSEPPE CARLO FERDINANDO"	"VEGAS"	"19510616"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_13"
"http://dati.camera.it/ocd/persona.rdf/p200958"	"GIUSEPPE CARLO FERDINANDO"	"VEGAS"	"19510616"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/persona.rdf/p200958"	"GIUSEPPE CARLO FERDINANDO"	"VEGAS"	"19510616"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_15"
"http://dati.camera.it/ocd/persona.rdf/p200963"	"COSIMO"	"VENTUCCI"	"19380211"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_12"
"http://dati.camera.it/ocd/persona.rdf/p200963"	"COSIMO"	"VENTUCCI"	"19380211"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_13"
"http://dati.camera.it/ocd/persona.rdf/p200963"	"COSIMO"	"VENTUCCI"	"19380211"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/persona.rdf/p200963"	"COSIMO"	"VENTUCCI"	"19380211"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_15"
"http://dati.camera.it/ocd/persona.rdf/p201001"	"GIULIANO"	"ZOSO"	"19420202"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_11"
"http://dati.camera.it/ocd/persona.rdf/p20510"	"ALDO"	"AJELLO"	"19360115"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_07"
"http://dati.camera.it/ocd/persona.rdf/p20670"	"FRANCO"	"BASSANINI"	"19400509"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_13"
"http://dati.camera.it/ocd/persona.rdf/p20670"	"FRANCO"	"BASSANINI"	"19400509"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/persona.rdf/p20770"	"MARCO"	"BOATO"	"19440727"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_10"
"http://dati.camera.it/ocd/persona.rdf/p21100"	"RICCARDO"	"DI CORATO"	"19290620"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_09"
"http://dati.camera.it/ocd/persona.rdf/p21300"	"MARIAPIA"	"GARAVAGLIA"	"19470810"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_16"
"http://dati.camera.it/ocd/persona.rdf/p21520"	"FRANCESCO"	"MACIS"	"19360121"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_10"
